Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 20s;Nb d'abandons >  20s et <= 30 s;Nb Abandons > 30s;Nb Appels décrochés <= 20s;Nb Appels décrochés > 20s et <= 30s;Nb Appels décrochés > 30s;Temps moyen conversation;Pris < 20s;SLA
01/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
02/08;;1;0;1;1;0;0;0;1;0;0;00:2:03;100.00;80;
03/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
04/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
05/08;;2;0;2;2;0;0;0;2;0;0;00:4:17;100.00;80;
08/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
09/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
10/08;;1;1;1;0;0;1;0;0;0;0;00:0:00;0.00;80;
11/08;;3;0;3;3;0;0;0;3;0;0;00:1:22;100.00;80;
12/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
16/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
17/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
18/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
19/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
22/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
23/08;;1;1;0;0;1;0;0;0;0;0;00:0:00;0.00;80;
24/08;;1;1;0;0;1;0;0;0;0;0;00:0:00;0.00;80;
25/08;;2;0;2;2;0;0;0;2;0;0;00:0:55;100.00;80;
26/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
29/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
30/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;
31/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;80;

;Totaux;11;3;9;8;2;1;0;8;0;0;00:2:04;88.89;80;