Date;;Nb TOTAL d'Appels reçus;Nb total d'abandons;Base Statistique du nombre d'appels;Nb Total d'Appels décrochés;Nb d'Abandons <= 60s;Nb d'abandons >  60s et <= 60 s;Nb Abandons > 60s;Nb Appels décrochés <= 60s;Nb Appels décrochés > 60s et <= 60s;Nb Appels décrochés > 60s;Temps moyen conversation;Pris < 60s;SLA
24/08;;9;1;8;8;1;0;0;8;0;0;00:3:48;100.00;90;
25/08;;5;2;5;3;0;0;2;3;0;0;00:3:41;60.00;90;
26/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
27/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
28/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
29/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
30/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;
31/08;;0;0;0;0;0;0;0;0;0;0;00:0:00;0.00;90;

;Totaux;14;3;13;11;1;0;2;11;0;0;00:3:46;84.62;90;